attack_army_id	defense_army_id	median_fraction_ipc_winner	min_fraction_ipc_winner	max_fraction_ipc_winner	percentile_25	percentile_75	iqr_fraction_ipc_winner	mod_t_fraction_ipc_winner	abs_mod_t_fraction_ipc_winner
18	43	-0.5517241379310345	-1.0	0.8666666666666667	-0.6896551724137931	0.3333333333333333	1.0229885057471264	-0.5393258426966292	0.5393258426966292
48	43	-0.5517241379310345	-1.0	1.0	-0.7931034482758621	0.0	0.7931034482758621	-0.6956521739130435	0.6956521739130435
58	43	-0.5517241379310345	-1.0	0.8928571428571429	-0.7931034482758621	0.0	0.7931034482758621	-0.6956521739130435	0.6956521739130435
3	23	-0.5517241379310345	-1.0	1.0	-0.7586206896551724	0.0	0.7586206896551724	-0.7272727272727273	0.7272727272727273
8	23	-0.5517241379310345	-1.0	1.0	-0.7586206896551724	0.0	0.7586206896551724	-0.7272727272727273	0.7272727272727273
5	43	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	0.0	0.6896551724137931	-0.7999999999999999	0.7999999999999999
9	43	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	0.0	0.6896551724137931	-0.7999999999999999	0.7999999999999999
12	43	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	0.0	0.6896551724137931	-0.7999999999999999	0.7999999999999999
50	43	-0.5517241379310345	-1.0	0.8928571428571429	-0.6896551724137931	0.0	0.6896551724137931	-0.7999999999999999	0.7999999999999999
55	45	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	0.0	0.6896551724137931	-0.7999999999999999	0.7999999999999999
44	46	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.1379310344827586	0.5517241379310346	-0.9999999999999998	0.9999999999999998
5	45	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.2068965517241379	0.48275862068965525	-1.1428571428571426	1.1428571428571426
18	45	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.2068965517241379	0.48275862068965525	-1.1428571428571426	1.1428571428571426
26	45	-0.5517241379310345	-1.0	0.896551724137931	-0.6896551724137931	-0.2068965517241379	0.48275862068965525	-1.1428571428571426	1.1428571428571426
38	45	-0.5517241379310345	-1.0	0.8928571428571429	-0.6896551724137931	-0.2068965517241379	0.48275862068965525	-1.1428571428571426	1.1428571428571426
43	45	-0.5517241379310345	-1.0	1.0	-0.6896551724137931	-0.2068965517241379	0.48275862068965525	-1.1428571428571426	1.1428571428571426
47	45	-0.5517241379310345	-1.0	0.9	-0.6896551724137931	-0.2068965517241379	0.48275862068965525	-1.1428571428571426	1.1428571428571426
